Designator,Mid X,Mid Y,Rotation,Layer
J1,158.51,-85.58,0.0,top
J2,112.12,-103.58,0.0,top
J3,147.34,-58.28,90.0,top
J5,134.0,-153.5,180.0,top
J6,111.8,-71.03,0.0,top
R1,158.38,-69.04,0.0,top
R10,153.83,-136.65,90.0,top
R11,158.83,-136.49,90.0,top
R12,163.83,-136.49,90.0,top
R13,111.27,-117.65,0.0,top
R14,111.69,-123.65,0.0,top
R2,155.06,-104.79,90.0,top
R3,142.88,-69.04,0.0,top
R4,161.56,-104.29,90.0,top
R5,110.25,-136.84,90.0,top
R6,105.25,-136.84,90.0,top
R7,115.25,-136.76,90.0,top
R8,120.25,-136.84,90.0,top
R9,149.13,-136.57,90.0,top
U1,135.51,-107.44,0.0,top
